IP ADDRESS,ASN,NET RANGE,NETWORK NAME,NET NAME
203.84.209.89,AS10310,203.84.208.0 - 203.84.223.255,YAHOO-1,
203.84.209.75,AS10310,203.84.208.0 - 203.84.223.255,YAHOO-1,
203.84.209.89,AS10310,203.84.208.0 - 203.84.223.255,YAHOO-1,
216.115.108.18,AS10310,216.115.96.0 - 216.115.111.255,YAHOO-1,
209.191.64.54,AS10310,209.191.64.0 - 209.191.127.255,YAHOO-1,
209.191.68.1,AS10310,209.191.64.0 - 209.191.127.255,YAHOO-1,
209.191.65.103,AS10310,209.191.64.0 - 209.191.127.255,YAHOO-1,
66.196.67.103,AS10310,66.196.64.0 - 66.196.127.255,YAHOO-1,
62.115.175.189,AS1299,62.115.160.0 - 62.115.191.255,"TWELVE99 Arelion, fka Telia Carrier, SE",
62.115.122.188,AS1299,62.115.112.0 - 62.115.127.255,"TWELVE99 Arelion, fka Telia Carrier, SE",
62.115.113.20,AS1299,62.115.112.0 - 62.115.127.255,"TWELVE99 Arelion, fka Telia Carrier, SE",
62.115.136.201,AS1299,62.115.128.0 - 62.115.143.255,"TWELVE99 Arelion, fka Telia Carrier, SE",
62.115.175.189,AS1299,62.115.160.0 - 62.115.191.255,"TWELVE99 Arelion, fka Telia Carrier, SE",
62.115.113.20,AS1299,62.115.112.0 - 62.115.127.255,"TWELVE99 Arelion, fka Telia Carrier, SE",
62.115.136.201,AS1299,62.115.128.0 - 62.115.143.255,"TWELVE99 Arelion, fka Telia Carrier, SE",
213.155.129.73,AS1299,213.155.129.0 - 213.155.129.255,"TWELVE99 Arelion, fka Telia Carrier, SE",
104.244.42.193,AS13414,104.244.40.0 - 104.244.47.255,Twitter Inc.,TWITTER-NETWORK
104.244.42.65,AS13414,104.244.40.0 - 104.244.47.255,TWITTER,
199.59.151.96,AS13414,199.59.148.0 - 199.59.151.255,TWITTER,
104.244.42.1,AS13414,104.244.40.0 - 104.244.47.255,TWITTER,
199.59.151.98,AS13414,199.59.148.0 - 199.59.151.255,TWITTER,
104.244.42.129,AS13414,104.244.40.0 - 104.244.47.255,TWITTER,
103.102.166.224,AS14907,103.102.166.0 - 103.102.166.255,"Wikimedia Foundation, Inc.",WIKIMEDIA-AP
103.102.166.224,AS14907,103.102.166.0 - 103.102.166.255,WIKIMEDIA,
103.102.166.224,AS14907,103.102.166.0 - 103.102.166.255,WIKIMEDIA,
198.35.26.96,AS14907,198.35.26.0 - 198.35.27.255,WIKIMEDIA,
142.250.183.228,AS15169,142.250.0.0 - 142.251.255.255,Google LLC,
72.14.223.26 ,AS15169,72.14.192.0 - 72.14.255.255,Google LLC,
35.186.224.25,AS15169,35.184.0.0 - 35.191.255.255,Google LLC,GOOGLE-CLOUD
72.14.223.26,AS15169,72.14.192.0 - 72.14.255.255,Google LLC,GOOGLE
108.170.227.7,AS15169,108.170.192.0 - 108.170.255.255,Google LLC,GOOGLE
142.251.55.43,AS15169,142.250.0.0 - 142.251.255.255,Google LLC,GOOGLE
72.14.223.26,AS15169,72.14.192.0 - 72.14.255.255,GOOGLE,
72.14.232.71,AS15169,72.14.192.0 - 72.14.255.255,GOOGLE,
142.251.55.241,AS15169,142.250.0.0 - 142.251.255.255,GOOGLE,
142.250.195.142,AS15169,142.250.0.0 - 142.251.255.255,GOOGLE,
72.14.223.26,AS15169,72.14.192.0 - 72.14.255.255,GOOGLE,
108.170.227.7,AS15169,108.170.192.0 - 108.170.255.255,GOOGLE,
142.251.55.63,AS15169,142.250.0.0 - 142.251.255.255,GOOGLE,
142.250.192.4,AS15169,142.250.0.0 - 142.251.255.255,GOOGLE,
209.85.168.26,AS15169,209.85.128.0 - 209.85.255.255,GOOGLE,
172.253.69.227,AS15169,172.253.0.0 - 172.253.255.255,GOOGLE,
108.170.231.79,AS15169,108.170.192.0 - 108.170.255.255,GOOGLE,
35.186.224.25,AS15169,35.184.0.0 - 35.191.255.255,GOOGLE,
74.125.51.166,AS15169,74.125.0.0 - 74.125.255.255,GOOGLE,
142.251.76.31,AS15169,142.250.0.0 - 142.251.255.255,GOOGLE,
142.251.77.99,AS15169,142.250.0.0 - 142.251.255.255,GOOGLE,
142.250.182.142,AS15169,142.250.0.0 - 142.251.255.255,GOOGLE,
74.125.50.202,AS15169,74.125.0.0 - 74.125.255.255,GOOGLE,
142.251.227.211,AS15169,142.250.0.0 - 142.251.255.255,GOOGLE,
216.239.56.65,AS15169,216.239.32.0 - 216.239.63.255,GOOGLE,
142.250.193.100,AS15169,142.250.0.0 - 142.251.255.255,GOOGLE,
72.14.195.128,AS15169,72.14.192.0 - 72.14.255.255,GOOGLE,
142.251.227.213,AS15169,142.250.0.0 - 142.251.255.255,GOOGLE,
142.251.55.221,AS15169,142.250.0.0 - 142.251.255.255,GOOGLE,
35.186.224.25,AS15169,35.184.0.0 - 35.191.255.255,GOOGLE,
72.14.213.20,AS15169,72.14.192.0 - 72.14.255.255,GOOGLE,
